Eu _ cansado no final do dia.|estive
Ela _ ocupada na reunião.|esteve
Nós _ preocupados com o projeto.|estivemos
Eles _ contentes com o resultado.|estiveram
Tu _ ansioso pelo resultado.|estiveste
Ele _ tranquilo durante a discussão.|esteve
Vocês _ focados no objetivo.|estiveram
Eu _ presente no evento.|estive
Elas _ felizes com a notícia.|estiveram
Nós _ atentos durante a aula.|estivemos
Eu _ atarefado durante a semana.|estive
Ela _ disponível para ajudar.|esteve
Nós _ ausentes naquela ocasião.|estivemos
Eles _ ausentes na apresentação.|estiveram
Tu _ presente na festa.|estiveste
Ele _ alegre durante o encontro.|esteve
Vocês _ concentrados na atividade.|estiveram
Eu _ inquieto durante o filme.|estive
Elas _ calmas durante a situação.|estiveram
Nós _ tranquilos no feriado.|estivemos
Eu _ indeciso quanto à escolha.|estive
Ela _ animada com o projeto.|esteve
Nós _ empolgados com a viagem.|estivemos
Eles _ inquietos antes do evento.|estiveram
Tu _ contente com o resultado.|estiveste
Ele _ focado no trabalho.|esteve
Vocês _ determinados a vencer.|estiveram
Eu _ surpreso com a notícia.|estive
Elas _ atentas à explicação.|estiveram
Nós _ absortos na leitura.|estivemos
Eles _ preocupados com o prazo.|estiveram
Tu _ atento à discussão.|estiveste
Ele _ nervoso antes da apresentação.|esteve
Vocês _ descontraídos na ocasião.|estiveram
Eu _ relaxado no fim de semana.|estive
Elas _ alegres na celebração.|estiveram
Nós _ apreensivos com o resultado.|estivemos
Eles _ alegres durante a festa.|estiveram
Tu _ distante durante a reunião.|estiveste
Ele _ entusiasmado com o projeto.|esteve
Vocês _ preocupados com o desafio.|estiveram
Eu _ surpreso com a revelação.|estive
Elas _ comprometidas com o trabalho.|estiveram
Nós _ ocupados com as tarefas.|estivemos
Eles _ ansiosos pela notícia.|estiveram
