Eu _ um presente para ela.|dei
Ela _ um abraço nele.|deu
Nós _ um beijo neles.|demos
Eles _ um sorriso para todos.|deram
Tu _ uma rosa para ela.|deste
Ele _ um presente para a mãe.|deu
Vocês _ uma lembrança para ele.|deram
Eu _ um presente para o amigo.|dei
Elas _ um elogio para ele.|deram
Nós _ um conselho para eles.|demos
Eu _ um livro para ela.|dei
Ela _ uma carona para ele.|deu
Nós _ uma resposta para eles.|demos
Eles _ uma oportunidade para ela.|deram
Tu _ um conselho para ela.|deste
Ele _ um apoio para ela.|deu
Vocês _ um sorriso para ela.|deram
Eu _ um abraço nela.|dei
Elas _ uma sugestão para ele.|deram
Nós _ uma resposta para ela.|demos
Eu _ um presente para a professora.|dei
Ela _ um conselho para ele.|deu
Nós _ uma carona para eles.|demos
Eles _ um elogio para ela.|deram
Tu _ uma resposta para ele.|deste
Ele _ uma lembrança para ela.|deu
Vocês _ uma oportunidade para ele.|deram
Eu _ um abraço nele.|dei
Elas _ um presente para ele.|deram
Nós _ um beijo para eles.|demos
Eles _ uma sugestão para ela.|deram
Tu _ uma resposta para ela.|deste
Ele _ um sorriso para ela.|deu
Vocês _ um elogio para ela.|deram
Eu _ uma lembrança para ele.|dei
Elas _ uma resposta para ele.|deram
Nós _ um presente para eles.|demos
Eles _ um conselho para ela.|deram
Tu _ um apoio para ela.|deste
Ele _ um presente para ela.|deu
Vocês _ uma resposta para ele.|deram
Eu _ um apoio para ela.|dei
Elas _ um sorriso para ele.|deram
Nós _ uma sugestão para ele.|demos
Eles _ um abraço para ela.|deram
Tu _ um presente para ela.|deste
Ele _ uma sugestão para ela.|deu
Vocês _ um beijo para ele.|deram
