Eu _ um plano.|tenho
Ela _ um segredo.|tem
Nós _ tempo.|temos
Eles _ uma ideia.|têm
Tu _ uma resposta.|tens
Ele _ um objetivo.|tem
Vocês _ o controle.|têm
Eu _ a solução.|tenho
Elas _ coragem.|têm
Nós _ a oportunidade.|temos
Eu _ um motivo.|tenho
Ela _ uma expectativa.|tem
Nós _ um compromisso.|temos
Eles _ a habilidade.|têm
Tu _ a chave.|tens
Ele _ um plano.|tem
Vocês _ uma pergunta.|têm
Eu _ a resposta.|tenho
Elas _ a habilidade.|têm
Nós _ a força.|temos
Eu _ um desejo.|tenho
Ela _ uma visão.|tem
Nós _ a coragem.|temos
Eles _ a paciência.|têm
Tu _ um objetivo.|tens
Ele _ um motivo.|tem
Vocês _ uma solução.|têm
Eu _ a experiência.|tenho
Elas _ a força.|têm
Nós _ a vontade.|temos
Eles _ um motivo.|têm
Tu _ a capacidade.|tens
Ele _ a oportunidade.|tem
Vocês _ um desejo.|têm
Eu _ um compromisso.|tenho
Elas _ a vontade.|têm
Nós _ a capacidade.|temos
Eles _ um sonho.|têm
Tu _ a paciência.|tens
Ele _ a expectativa.|tem
Vocês _ a habilidade.|têm
Eu _ a coragem.|tenho
Elas _ a capacidade.|têm
Nós _ a força.|temos
Eles _ a experiência.|têm
Tu _ a vontade.|tens
Ele _ a habilidade.|tem
Vocês _ a expectativa.|têm
