Eu _ a verdade a ele.|disse
Ela _ que viria mais tarde.|disse
Nós _ que apoiaríamos.|dissemos
Eles _ o que pensavam.|disseram
Tu _ que concordarias.|disseste
Ele _ o que aconteceu.|disse
Vocês _ que ajudariam.|disseram
Eu _ a solução para o problema.|disse
Elas _ que participariam.|disseram
Nós _ o que faríamos.|dissemos
Eu _ que iria.|disse
Ela _ que gostaria de participar.|disse
Nós _ que chegaríamos cedo.|dissemos
Eles _ o que achavam.|disseram
Tu _ que ajudarias.|disseste
Ele _ que chegaria a tempo.|disse
Vocês _ que tentariam.|disseram
Eu _ que tentaria.|disse
Elas _ que estariam presentes.|disseram
Nós _ que poderíamos ajudar.|dissemos
Eu _ que precisaria de ajuda.|disse
Ela _ que era possível.|disse
Nós _ que agradeceríamos.|dissemos
Eles _ que contariam tudo.|disseram
Tu _ que apoiarias.|disseste
Ele _ que precisaria de mais tempo.|disse
Vocês _ que poderiam participar.|disseram
Eu _ que iria ajudar.|disse
Elas _ que fariam o melhor.|disseram
Nós _ que tentaríamos de novo.|dissemos
Eles _ que explicariam.|disseram
Tu _ que concordarias.|disseste
Ele _ que faria tudo.|disse
Vocês _ que poderiam tentar.|disseram
Eu _ que precisaria de tempo.|disse
Elas _ que achariam a solução.|disseram
Nós _ que poderíamos ajudar.|dissemos
Eles _ que iriam tentar.|disseram
Tu _ que apoiarias a ideia.|disseste
Ele _ que entenderia.|disse
Vocês _ que tentariam ajudar.|disseram
Eu _ que precisaria de ajuda.|disse
Elas _ que fariam a diferença.|disseram
Nós _ que poderíamos ajudar.|dissemos
Eles _ que explicariam o plano.|disseram
